Event,Year,x,Time,Medal,Gender,Name
50m Free,1988,25.49,25.49,Gold,Women's,x
50m Free,1988,25.64,25.64,Silver,Women's,y
50m Free,1988,25.71,25.71,Bronze,Women's,v
50m Free,1988,25.71,25.71,Bronze,Women's,s
50m Free,1992,24.79,24.79,Gold,Women's,dd
50m Free,1992,25.08,25.08,Silver,Women's,fsdf
50m Free,1992,25.23,25.23,Bronze,Women's,sdf
50m Free,1996,24.87,24.87,Gold,Women's,sfsd
50m Free,1996,24.9,24.9,Silver,Women's,fsdf
50m Free,1996,25.14,25.14,Bronze,Women's,fsdf
50m Free,2000,24.32,24.32,Gold,Women's,fsf
50m Free,2000,24.51,24.51,Silver,Women's,sfsd
50m Free,2000,24.63,24.63,Bronze,Women's,sdfs
50m Free,2004,24.58,24.58,Gold,Women's,dfs
50m Free,2004,24.89,24.89,Silver,Women's,fsdf
50m Free,2004,24.91,24.91,Bronze,Women's,fsdf
50m Free,2008,24.06,24.06,Gold,Women's,fd
50m Free,2008,24.07,24.07,Silver,Women's,fsdf
50m Free,2008,24.17,24.17,Bronze,Women's,fs
50m Free,2012,24.05,24.05,Gold,Women's,dfs
50m Free,2012,24.28,24.28,Silver,Women's,fds
50m Free,2012,24.39,24.39,Bronze,Women's,fs
50m Free,2016,24.07,24.07,Gold,Women's,fsdf
50m Free,2016,24.09,24.09,Silver,Women's,d
50m Free,2016,24.11,24.11,Bronze,Women's,d
100m Free,1912,01:22.2,82.2,Gold,Women's,
100m Free,1912,01:25.4,85.4,Silver,Women's,
100m Free,1912,01:27.0,87,Bronze,Women's,
100m Free,1920,01:13.6,73.6,Gold,Women's,
100m Free,1920,01:17.0,77,Silver,Women's,
100m Free,1920,01:17.2,77.2,Bronze,Women's,
100m Free,1924,01:12.4,72.4,Gold,Women's,
100m Free,1924,01:12.8,72.8,Silver,Women's,
100m Free,1924,01:14.2,74.2,Bronze,Women's,
100m Free,1928,01:11.0,71,Gold,Women's,
100m Free,1928,01:11.4,71.4,Silver,Women's,
